Name in GIZ-internal database,Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Use Case Pipeline Status / maturity [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics ,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Authors of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Additional Resources (Paper, Publications, etc)",,Info on fair sharing as as Digital Public Good ,Comments
HCSA: High Carbon Stock Mapping in Southeast Asia,ui_29,,"Forest Forward: Using AI to protect forests and combat the climate crisis in Indonesia by maping carbon using ""High Carbon Stock Approach""",Indonesia,"This project focuses on creating validated, open-source High Carbon Stock (HCS) forest maps for Indonesia using an AI-driven approach. It adopts the HCS classification system to identify forests suitable for conservation versus sustainable development:
 • High, Medium, and Low-Density Forests (Conservation Priority): Forests with closed or patchy canopies, rich biodiversity, and carbon storage.
 • Young Regenerating Forests: Regrowing forests that are transitioning into higher carbon stock potential.
 • Scrub and Open Land: Areas with minimal carbon stock suitable for sustainable development.
 The maps integrate field data, satellite imagery, and AI to assist policymakers, NGOs, and businesses in making data-driven decisions for sustainable land-use planning and conservation. Stakeholders can use the outputs for spatial planning, reducing greenhouse gas emissions, and implementing ""no deforestation"" commitments. The High Carbon Stock Approach (HCSA) project was nominated for the prestigious UN SDG Game Changer award – Category 2: Planet – Innovation for our climate and environment “Artificial Intelligence Meets Jungle/ Forest Forward.",https://huggingface.co/datasets/HCSA/HCSA_Indonesia_Forest_Plot_Data_2023,,Climate Action,Dataset --> Pilot --> Use-Case,Geospatial,"Bappenas (https://www.bappenas.go.id/), JKPP (https://jkpp.org/), HCSA (https://highcarbonstock.org/public-consultation/), EcoVision Lab (https://www.spacehub.uzh.ch/en/research-areas/earth-observation/EcoVision-Lab.html)","The finalized HCS dataset and maps are available on Hugging Face HCSA/Forest_Plot_Data_2023, and Global Forest Watch.
 
 • License: Open-source (CC BY 4.0) 
 • Data Type: Geospatial and tabular 
 • Key Variables: Vegetation classification, carbon stock levels, validation points, and FPIC (Free, Prior and Informed Consent) compliance
 • Appr. No of observations: Covers ~1.5 million hectares of tropical forests 
 • Appr. No of dimensions: 60+ attributes, covering vegetation classifications, carbon stock levels, biomass measurements, land-use types, validation points, and FPIC (Free, Prior and Informed Consent) compliance data
 • Covering 150 field plot high-carbon stock areas across Sumatra, Kalimantan, and West Papua
 • Format: Geo TIFF, shapefile, CSV
 The data adheres to FAIR (Findable, Accessible, Interoperable, Reusable) principles and includes anonymization measures to protect sensitive information.","Processed Data:
 Field measurements (e.g., biomass and tree species) were combined with Sentinel-2 imagery and NASA GEDI lidar to enhance map accuracy. The resulting geospatial data includes classifications of High Carbon Stock forests and other land-use categories.
 Model Development:
 AI models, trained using Convolutional Neural Networks (CNNs) and calibrated with aerial LiDAR and ground-truth data, are hosted on the HCSA GitHub repository: HCS Mapping Code.
 Application:
 Validated HCS maps are deployed on Google Earth Engine and Global Forest Watch for conservation planning and policy support, with an ODK-based mobile app under development for offline data collection. The project integrates FPIC (Free, Prior, and Informed Consent) principles throughout, ensuring community involvement and respect for land rights in data collection and mapping.",,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,Computer Vision,,,,,,
Text data collection Indonesia,ui_30,,Text data collection Indonesia,Indonesia,Text data collection for 3 regional languages,,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
"Blue economy for climate mitigation and climate - leveraging AI, community-based approaches and local IoT-measurements",ui_31,,"Blue economy for climate mitigation and climate - leveraging AI, community-based approaches and local IoT-measurements",Indonesia,"Follow up of HCSA with focus on blue carbon and training of marginalized communities, as well as policy dialogue on climate",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,ML4EO,,,,,,
Early Warning System LDRI,ui_32,,Early Warning System: Advisory services on climate-smart farming for small-holder farmers,Kenya,"The Early Warning System (EWS) is an AI-powered platform that monitors farming activities and supports climate-smart precision agriculture for smallholder farms. It uses geo-referenced data collected from farms through mobile phones and high-resolution satellite imagery. The system provides crop monitoring, yield prediction, pest/disease detection, and localized agricultural advisory services in multiple languages. The platform is currently accessed through both WhatsApp by farmers and a self-serve platform/API for institutional users.",,,"Agriculture, Climate Action",Dataset --> Pilot --> Use-Case,"Geospatial, Images",LDRI (https://www.developlocal.org/#),"Ground truth geo-tagged data from 1,521 farms across 5 regions in Kenya
 Types of data: Crop images, farm boundaries, crop conditions, weekly activity logs
 Coverage: Multiple crop types including maize, beans, sweet potatoes, cassava, kales, Irish potatoes, cowpeas, soya beans, and indigenous vegetables
 Language data: ~150 hours of voice data and transcriptions in KiEmbu, Kikuyu, Kiswahili and Luhya
 Timeline: Data collected over multiple growing seasons from 2022-2024
 Collection conducted by LDRI in partnership with champion farmers and agronomists.","Processed Data and Models:
 1. Uses geo-tagged images collected from farms and annotated for crop types, health status, and specific afflictions (pests/diseases/nutrition deficiency) 
 2. Derived vegetation indices, moisture indices, and time-series data from satellite imagery.
 3. A corpus of voice and text data is being developed for local language processing.
 4. Crop classification models using CNN architectures : Identifies 
 5. Crop Yield prediction models 
 6. Language models for agricultural advisory in multiple local languages (in development)
 Application:
 The system can be used for:
 • Early warning of potential crop failure
 • Yield prediction and crop health monitoring
 • Localized agricultural advisory in multiple languages
 • Farm productivity tracking and management
 • Regional agricultural monitoring and planning","The EWS provides a comprehensive platform that combines AI-powered crop monitoring with localized advisory services. Organizations can access the data and models through :A self-serve platform and API for accessing predictions and analytics; Mobile applications for farmers to receive personalized crop management recommendations in local language; Integration possibilities with existing agricultural extension services and Analytics dashboards for value chain stakeholders and policy institutions. The system can be scaled to new regions and crops through transfer learning and the modular architecture allowing for continuous improvement of individual components. The platform supports both individual farmer-level insights and aggregated regional analytics to optimize crop yields and manage stressors effectively, making it valuable for various stakeholders across the agricultural sector.","Powered by: Local Development Research Institute (LDRI) 
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,"Computer Vision, NLP",,,,,,"LDRI contacted for info on dataset and model (DB, 6/6/25)"
Office of Data Protection Commission (ODPC) Chatbot Kenya,ui_33,,Citizen chatbot of the Kenyan Office of the Data Protection Commissioner,Kenya,The citizen chatbot enables the Kenyan public to access information about Kenya's data protection laws and regulation in an easily accessible conversation on the ODPC's website. The aim is to make legal information more understandable and facilitate access. The content database of the chatbot was developed jointly with expert from the ODPC and tested with citizens.,,,Public service delivery,Use case,,THiNK (https://think.ke/),"For the content database of the chatbot, Q&A pairs created and tested together with ODPC and citizens",The chatbot uses a Rasa architecture with NLU for accessing the Q&A pairs corresponding to user inquiries,,"Powered by: Tech Innovators Network Kenya (THiNK)
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,NLP,,,,,,"THiNK contacted for website and data info (DB, 6/6/25)"
,ui_34,"Open voice datasets for Kiswahili, Kinyarwanda and Luganda","Crowdsourcing open voice datasets for Kiswahili, Kinyarwanda and Luganda","Kenya, Rwanda, Uganda","By collecting more than 1000 hours of AI voice data (by 04/2025), this effort created the largest open-source voice dataset of diverse Swahili speakers for speech recognition (speech-to-text). You can use this resource to build AI systems understanding spoken Swahili e.g. in cellphones . This facilitates access to information in mother tongue, including by illiterate persons. ",https://commonvoice.mozilla.org/en/datasets ,,General,Dataset,"Text, Voice",Mozilla Common Voice (https://commonvoice.mozilla.org),The datasets for the three languages consist of text data and the corresponding voice data. They are hosted on Mozilla's Common Voice Platform.,,,"Powered by: Mozilla Common Voice
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ, Gates Foundation, FCDO

",Balthas Seibold,NLP,,CC-0,"Creating community-driven  datasets: Insights from  Mozilla Common Voice activities in East Africa 
(https://www.bmz-digital.global/wp-content/uploads/2023/03/Creating-Community-Driven-Datasets-Report-032023-GIZ-Mozilla.pdf)",,,
AIEP MVP Development,ui_35,,"Providing farmers in Kenya and Bihar, India with high-quality, personalized information through AI and developing blueprints for AI-powered Agriculture Information Exchange Platforms","Kenya, India","Developing products that can be replicated through four initiatives: 1. DynAG: 
 Focused on rice, wheat, and maize, DynAG's platform uses a RAG pipeline powered by LLMs like the GPT suite to provide farmers with advisory services. Accessible via chatbots, Android and Jio-based mobile apps, IVR, and SMS, it ensures wide reach. With machine translation and speech recognition, the platform supports communication in English and Hindi while utilizing CGIAR's data backbone for accurate, data-driven insights. 
  
 2. Digital Green: 
 Digital Green's platform supports agricultural value chains like dairy, coffee, and wheat in Bihar and Kenya. It integrates a RAG pipeline, using LLMs under evaluation, and offers services through an app, Telegram, and IVR. Features like machine translation, speech technology, image recognition, and weather data enable localized insights. The platform supports multiple languages, including Hindi, Swahili, Gikuyu, and Marathi, ensuring flexibility across regions. 
  
 3. Viamo and Partners: 
 This platform targets farmers in Kenya and Bihar, focusing on beans and wheat, respectively. Using IVR, SMS, and WhatsApp, the platform is built on a RAG pipeline powered by LLMs, with potential for intent and entity recognition. Machine translation and speech-enabled IVR support English, Hindi, and Swahili, making it accessible across regions. The initiative is part of a broader plan to enhance voice technology for agricultural advisory. 
 
 4. Tech for Her: 
 Tech for Her empowers women farmers in Bihar and Kenya, focusing on tomatoes and cattle. Accessible via IVR, WhatsApp, and a mobile app, the platform uses LLM-powered intent and entity recognition for personalized chatbot interactions and speech-enabled IVR for voice support. AI-based video generation further enhances engagement. Available in English, Hindi, and Swahili, it caters to the specific needs of women in agriculture.",https://dev.platform.farmer.chat/login,,Agriculture,Data sharing platform,Text,Digital Green,The platform allows for uploading and downloading AI model training data for sharing with the community. The data owner can set up access rights for the shared datasets,,,"Powered by: 
Catalyzed by: FAIR Forward - AI for All
Financed by: Gates Foundation",,NLP,,,,,,
Support Mozilla Swahili grantee,ui_36,,Paza Sauti - chatbot and IVR service in Swahili to raise awareness about the use of collateral (security) to access credit for women in Kenya,Kenya,"The project is developing a chatbot and an interactive voice response service that will provide voice-enabled services in the domain of business registration and raise awareness about the use of collateral (security) to access credit in Kenya. The main objective is to increase financial literacy around moveable properties as collateral, particularly for women in business, and in particular agriculture, for purposes of accessing credit. Although there has been an increase in the ease of getting credit, most members of the population are still unaware of their capability to access further credit as a result of using moveable properties as collateral.",,,,,,THiNK (https://think.ke/),,,,"Powered by: THiNK Kenya
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,NLP,,,,,,"THiNK contacted for website and data info (DB, 6/6/25)"
Building Kenya Language Corpus incl. governance model,ui_37,,Building Kenya Language Corpus incl. governance model,Kenya,This project is only kicking off in July 2025. More information to follow.,,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,NLP,,,,,,More info to be added once project starts in July 2025
AI Conversational Chatbot (with GovStack),ui_38,,"Hello, government - better citizen services through ""AI Chatbots"" as a digital public good",Kenya,"There is a significant opportunity to make digitized government services in Kenya more easily discoverable and, by extension, enhance their accessibility and use by citizens through chatbot technology. Based on NLP technology, chatbots can help citizens access information on Kenya’s eGovernment services through text and voice inputs in Kiswahili and English. This project foresees the development of an AI Conversational Chatbot using the GovStack Building Block Approach - so as to create (a) a chatbot for easier service discoverability; and (b) a chatbot framework that can be reused as a digital public good.",,,,,,THiNK (https://think.ke/),,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,NLP,,,,,,The project is currently being implemented. More info to be added once it's finished (end of 2025)
Early Warning System LDRI – Phase 3,ui_39,,SEE ABOVE (it's covered by above entry on the EWS),Kenya,Extension of AI based Food and Nutrition EWS (Phase 3),,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,ML4EO,,,,,,
Building parallel corpora for Kenya’s Indigenous Languages and Swahili,ui_40,Building parallel corpora for Kenya’s Indigenous Languages and Swahili,,Kenya,"This team collected parallel text corpora for three Kenyan indigenous languages, Kidaw’ida, Kalenjin, and Dholuo, alongside Kiswahili, resulting in approximately 90,000 sentence pairs in total. After collection, the team separated out the Kidaw’ida, Kalenjin, and Dholuo sentences and used them as monolingual datasets for crowd-sourcing speech data, facilitated by uploading the sentences to Mozilla Common Voice. A total of 109 members of the three language communities were recruited to read and record sentences from their respective native languages. Emphasizing gender balance and including different ages and regional variants helped to make the datasets more representative. The voice datasets offer a substantial amount of speech data, comprising 56 hours of Kidaw’ida, 92 hours of Kalenjin, and 120 hours of Dholuo, for a total of 268 hours.
 
 Use cases for these parallel corpora include training models to translate text between Kiswahili and Kidaw’ida, Kalenjin, and Dholuo. The speech data on Mozilla Common Voice, along with its associated text data, is intended to be used for the development of speech recognition applications. The languages that comprise this dataset are low-resource, especially Kidaw’ida, which has only around 400,000 speakers and faces a more immediate risk of loss. By collecting the text and speech data, this team contributed to the preservation of these languages. They hope that once enough data has been collected to train accurate models and create NLP applications for these three languages, they will become more relevant in the modern digital age, thus mitigating the risk of loss.",https://zenodo.org/records/13355021,,Climate Action,,,Audrey Mbogho (ambogho@usiu.ac.ke),,,,"Powered by:  
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",,,,,,,,JN: Can you add the missing info (e.g. link to dataset etc.)? It's from Lacuna (comment by DB)
Labelled Open solar panel data for Madagascar,ui_41,Labelled Open solar panel data for Madagascar,,Madagascar,"This team annotated 2,125 Google Earth satellite images and 9,202 drone images, forming a combination of low and high-definition solar panel views in Madagascar. The Madagascar Initiatives for Digital Innovation (MAIDI) team performed field checks for up to 25% of satellite images and, in total, annotated 22,488 polygons.
 
 This dataset will help data scientists and users develop a solar panel detection algorithm to measure solar energy adoption across Madagascar. Notably, this project represented all regions of the country; instead of focusing only on big cities, it also covered average and small villages as well as coasts and mountains.",https://openstat-madagascar.com/bdd/energie-et-environnement/131-donnees-sur-l-energie-solaire-et-labellisation-d-images-de-panneaux-photovoltaiques-a-madagascar,,Climate Action,,,"Fabienne Rafidiharinirina (f.rafidiharinirina@association-maidi.mg), Association Maidi (assomaidi@gmail.com)",,,,"Powered by:  
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",,,,,,,,
A Nigerian Twitter Sentiment Corpus for Multilingual Sentiment Analysis,ui_42,A Nigerian Twitter Sentiment Corpus for Multilingual Sentiment Analysis,,Nigeria,"This dataset is the first large-scale human-annotated Twitter sentiment dataset for Hausa, Igbo, Nigerian-Pidgin, and Yorùbá, the four most widely spoken languages in Nigeria.",https://github.com/hausanlp/NaijaSenti,,"Climate Action, Natural Language Processing",,,NaijaSenti (https://github.com/hausanlp/NaijaSenti?tab=readme-ov-file#contact-us),,,,"Powered by:  
Catalyzed by: Lacuna-Fund / Meridian &  FAIR Forward - AI for All
Financed by: BMZ",,,,,,,,
Landslide monitoring use case,ui_43,On-site image and weather data for landslide and flood disaster hotspot monitoring in Rwanda,Landslide and flood disaster hotspot monitoring using computer vision in Rwanda,Rwanda,to be filled in once data and algorithms are available,,,"Climate Action, Disaster Risk Reduction Management",Dataset --> Pilot --> Use-Case,Image and tabular weather data,,,,,"Powered by:  tbd & Hesotech GmbH
Catalyzed by: FAIR Forward - AI for All & Digital and Green Innovation
Financed by: BMZ",Golo,Computer Vision,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5087469,,,
Expansion of voice data collection and development of use cases [Mozilla],ui_44,,Services to citizens in Swahili: Paza Sauti - chatbot and interactive voice response service in Swahili for better access to credit for women in Kenya and 5 other AI-powered services in Swahili based on Mozillas Common-Voice dataset,-,"Activity including local subactivities (Kinyarwanda, Luganda, Kiswahili)",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
Develop Mbaza AI Chatbot for Covid 19 [with Mozilla],ui_45,,Mbaza Chatbot Rwanda for health related inquiries by citizens,Rwanda,Running system (during Covid with 2 Million info requests ) / Business Model training on open source AI business with Digital Umuganda / Open Source system to allow for easy scaling and replication and sustainability,,,,,,,,,,"Powered by: Digital Umuganda 
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
Agriculture chatbot / early warning system for farmers / AI entrepreneurship competition,ui_46,,Better Advise to farmers in Rwanda through Agricultural chatbot (Mbaza Chatbot scaling),Rwanda,,,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
Bot of Bots Activity - in collaboration with Govstack for Kenya,ui_47,,"Hello, government - better citizen services through ""AI Chatbots"" as a digital public good",Rwanda,"Semantic Chatbot(s) & IVR for G2C services in Public Service Delivery and Good Governance 
 in Collaboration with Konza Technopolis, ICTA",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
,ui_48,A large scale collection of voice data in Kinyarwanda to allow the building of inclusive language technology ,,Rwanda,"This effort created the largest open-source voice dataset of diverse Kinyarwanda speakers for speech recognition (speech-to-text). It collected more than 2300  hours of AI voice data in Kinyarwanda (by 04/2025). You can use this resource to build AI systems understanding spoken Kinyarwanda e.g. in cellphones . This facilitates access to information in mother tongue, including by illiterate persons. ",https://commonvoice.mozilla.org/en/datasets; https://huggingface.co/datasets/mbazaNLP/common-voice-kinyarwanda-english-dataset ,,,Dataset,,,,,,"Powered by: Digital Umuganda & Mozilla Common voice Initiative
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ

",Balthas Seibold,NLP,,CC-0,,,,
Kinyarwanda Screen Reader for visually impaired people,ui_49,,Supporting visually impaired people in Rwanda through a Kinyarwanda Screen Reader,,,,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,,,,,,,
ML4EO Crop Mapping Solution Rwanda,ui_50,"Crop type labels for beans, rice, wheat and Irish potatoes in Rwanda to monitor crop type area and enable crop yield forecasting in Rwanda",Monitoring crop type area and enabling crop yield forecasting through AI and Earth Observation in Rwanda,Rwanda,"to be filled in once data, code and models are available",,,"Climate Action, Agriculture/Food Security",,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,ML4EO,,,,,,
Landslide monitoring model development – data challenge/use case development follow-up,ui_51,,SEE ABOVE,Rwanda,,,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,ML4EO,,,,,,
ML4EO for Precision Agriculture,ui_52,Enabling geo-scientists to use Machine Learning for Precision Agriculture of geospatial data,Enabling geo-scientists to use Machine Learning for Precision Agriculture of geospatial data,South Africa,Field data collected on small holder agricultural farm land (crops) with raw datasets + applied use cases of classification of land use cover using ML (based on individual projects presented),https://drive.google.com/drive/folders/1X0u_BkiGGOn5ZRjrX9DIr6XT9yueoD3K?usp=drive_link,,"Agriculture, Climate Action",Dataset,"Images, Tabular",Dr Meena Lysko,,,,"Powered by:  Move Beyond Consulting
Implementing partners: WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Meena Lysko,ML4EO,,,,,,
NLP grant Localising Common Voice for South African Languages,ui_53,,Making voice data available in all official languages of South Africa as a digital public good - Voices of Mzansi,South Africa,Univ of Stellenbosch Grant (Febe de Wet) - Voices of Mzansi project / localise SA local languages on Mozilla CV platform,https://commonvoice.mozilla.org/de/languages,,Natural Language Processing,Dataset,Text,Prof Febe de Wet,,,,"Powered by:  University of Stellenbosch 
Catalyzed by: South African Digital Language Resources (SADILAR), FAIR Forward - AI for All, Mozilla Foundation, UNESCO decade of indigenous languages
Financed by: BMZ",,NLP,,,,,,
South Africa Crop Type Competition,ui_54,"Crop Type Identification from Satellite Imagery in Western Cape, South Africa","Crop Type Identification from Satellite Imagery in Western Cape, South Africa",South Africa,This dataset and AI model was produced as part of the Radiant Earth Spot the Crop Challenge (https://zindi.africa/hackathons/radiant-earth-spot-the-crop-hackathon). The objective of the competition was to create a machine learning model to classify fields by crop type from images collected during the growing season by the Sentinel-2 and Sentinel-1 satellites.,https://beta.source.coop/repositories/radiantearth/south-africa-crops-competition/description/,https://github.com/radiantearth/spot-the-crop-challenge,"Climate Action, Agriculture",Dataset --> Pilot,Tabular,"Radiant Earth (ml@radiant.earth), Western Cape Department of Agriculture",The dataset contains a time-series of satellite imagery and labels for crop type that have been collected through aerial and ground survey. Labels are derived from the survey conducted by the Western Cape Department of Agriculture. Satellite data including multispectral Sentinel-2 are then matched with corresponding labels.,"This repository contains the winning models from the Zindi data competition ""Spot the Crop"" in which participants used time series of Sentinel-2 multispectral imagery as input for crop type classification.

","The agricultural sector makes a substantial contribution to GDP and livelihoods across the developing world. However, regular and reliable agricultural data remains difficult and expensive to collect on the ground. As a result, policy-makers usually don’t have access to updated data for implementing policies or supporting farmers. Earth observation satellites provide a wealth of multispectral image data that can be used for developing agricultural monitoring tools. These tools support farmers and policy-makers across Africa and the developing world. With this dataset and AI model you can use time-series of Sentinel-2 multi-spectral data to classify crops in the Western Cape of South Africa.","Powered by: Radiant Earth, Western Cape Department of Agriculture
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Philipp Olbrich,Computer Vision,,CC-BY 4.0,https://zindi.africa/competitions/radiant-earth-spot-the-crop-challenge,,,
Croppie Coffee Yield Prediction,ui_55,Precision Farming Simplified: Croppie’s AI-Powered Agronomic Advisor,"Croppie- helping smallholder coffee producers to plan sales, get loans, and trace coffee - AI powered coffee yield prediction",Uganda,"Unpredictable weather conditions and price fluctuations pose major challenges for coffee farmers in Uganda. The platform and app 'Croppie' supports them with targeted cultivation recommendations and precise crop forecasts—using AI-supported image recognition of coffee plants. As a digital public good based on open-source technology, it can be adapted and further developed locally. The basic user interface is provided through a mobile application. Croppie’s core functionality is to allow for AI-supported coffee yield estimation. This is done by guiding a selective sampling for a statistical yield estimation service based on branch count and coffee branch picture taking, alongside the integration of additional data provided by the user.",https://huggingface.co/datasets/rgautroncgiar/croppie_coffee_ug,https://huggingface.co/rgautroncgiar/croppie_coffee_ug,"Agriculture, Climate Action",Dataset --> Pilot --> Use-Case --> Use-Case with Business Model,Tabular,"Croppie (https://croppie.org/#contact), Producers Direct (https://producersdirect.org/), M-Omolumisa, CIAT","The Data is fully open-sourced and can be accessed on Hugging Face
 • License: CC BY SA 4.0
 • Data Type: Tabular
 • Key Variables: Coffee cherry color (5), coffee cherry size
 • Appr. No of observations: 8333
 • Format: dbf, csv
 
 The data was collected over the span of 1.5 years covering different crop cycles between 2022 and 2024. The Data Collection was conducted by Alliance Bioversity & CIAT and M-Omolumisa via on-the-ground visits of the farms.","Processed Data:
 The dataset is made of a mix of Arabica and Robusta coffee tree parts (with and without a background isolation element) with individual bounding boxes around all coffee cherries. These RGB pictures were on-farm collected with smartphones with the collaboration of smallholder farmers. 
 Code for Crop Classification Model:
 Code to create the training data and for training the models for crop mapping can be accessed here: 
 - Dataset
 - Model
 Application:
 The dataset/model can be used for automated cherry count or coffee ripeness assessment.","Instead of manual cherry counts (the traditional approach to harvest estimation), pictures of the coffee branches are used to automate this task. The coffee harvest on a plot level is estimated by processing pictures through AI-supported image recognition software along with a manual branch count (= tree level estimation) and a tree-per-ha estimation (or recall data) (scaling to plot level). Thus, Croppie serves as a central system for managing yield data at the farmer level. It also provides the option to share this data with external users; with for example cooperatives having the possibility to feed information from the application in an integrated database of their member’s performance and farm characteristics, provided they obtained prior consent to do so. This would then scale the Croppie system to have an aggregated data view of multiple users in a region, e.g. as a cooperative level dashboard.","Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,Computer Vision,,,,,,
Scaling ML-based site identification for MiniGrids Uganda,ui_56,Bridging the Energy Gap: Machine Learning Applications in Uganda's Rural Electrification,Finding good spots for decentralized green energy grids in Uganda I - AI based site identification for MiniGrids,Uganda,"The Site Identification tool is an AI-driven tool to enhance renewable energy planning. This tool utilizes machine learning and satellite imagery to identify optimal sites for renewable energy deployment, particularly in remote regions. A successful pilot in Lamwo District demonstrated its potential to improve energy access by recommending suitable electrification strategies for villages. This initiative aligns with Uganda’s National Electrification Strategy, which seeks to connect 10 million households to the most optimal energy source by 2030.",https://github.com/SunbirdAI/lamwo-electrification-project/tree/main,https://lamwo-electrification-demo-47qi01med-evie-8s-projects.vercel.app/,Climate Action,Dataset --> Pilot --> Use-Case,Geospatial,"Sunbird.ai


Ernest Mwebaze <emwebaze@sunbird.ai>","-• Data Type: Geospatial and tabular 
• Key Variables: Solar Irradiance,Biomass Resources,Wind Speed and Consistency,Biomass Resources,Hydropower Potential,
Population Density,Proximity to Existing Grids,Road Networks,Land Availability,Protected Areas,Cost of Energy Delivery
• The data adheres to FAIR (Findable, Accessible, Interoperable, Reusable) principles and includes anonymization measures to protect sensitive information.
",This web application is a decision support tool. It is built as a prototype for a large-scale decision support tool for determining electrification strategies for different geographical areas. Currently implemented in Lamwo district electrification. ,"This web application is a prototype decision support tool designed to guide electrification strategies across various geographic areas. It offers an initial village-level assessment through a color-coded map, with the legend explaining each category. Users can explore detailed analyses at the village level—the smallest unit for assessing electrification needs. The tool evaluates both demand and supply factors and suggests the most suitable energy solutions, including biomass, wind, solar home systems, mini-grids, or grid extension. It is intended to support government officials, energy sector stakeholders, and development partners in making informed renewable energy decisions.","Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,Computer Vision,,,,,,
ML-based site identification for MiniGrids in Uganda,ui_57,,Electrification Dashboard for Ugandan government - help to find the best energy sources for villages in Uganda,Uganda,COVERED WITH ENTRY ABOVE. This web application is a decision support tool. It is built as a prototype for a large-scale decision support tool for determining electrification strategies for different geographical areas. Currently implemented in Lamwo district electrification.,,,Climate Action,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,Computer Vision,,,,,,
Development of Unbiased AI Models for Solar Irradiance Uganda,ui_58,,Finding good spots for decentralized green energy grids in Uganda II - Measuring Solar Irradiance wih unbiased AI Models,Uganda,Machine Learning models to predict unbiased solar irradiance for a given location in sub-saharan Africa,,https://irradiation-portal-dev.onrender.com/,Climate Action,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,Computer Vision,,,,,,
NLP Use Case Strengthening relevance of Auditing reports in Uganda,ui_59,,NLP Use Case Strengthening relevance of Auditing reports in Uganda,Uganda,This activity is requested by Uganda country office and paid for by them. It is run by the DSC and FF is supporting with technical input. No own funds needed for this.,,,Climate Action,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
Datasets marking Personal Identifiable Information (PII) and Gender Bias,ui_60,Datasets marking Personal Identifiable Information (PII) and Gender Bias,,"Uganda,Kenya,Nigeria","This dataset contains annotated sentences with personally identifiable information (PII) in Luganda, Lumasaba, Hausa, and Kanuri. These four languages span Central and Eastern Uganda, Nigeria, Ghana, and Northern Cameroon. The team collected 3,000 sentences for both Kanuri and Hausa, 5,000 for Lumasaba, and 4,000 for Luganda. Potential use cases for these datasets include named entity recognition (NER), text classification, privacy-preserving data analysis and research, language modeling, machine translation, and linguistic research.
 
 The team aimed to curate a dataset that is gender inclusive, and their work highlighted the need for standardized guidelines for annotating low-resourced languages. Having these guidelines would help to avoid common pitfalls and errors when labeling text data in these low-resource languages.",https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/CGHWZE,,"Climate Action, Natural Language Processing",,,Andrew Katumba - Makerere University (katumba@mak.ac.ug),,,,"Powered by:  
Catalyzed by: Lacuna-Fund / Meridian &  FAIR Forward - AI for All
Financed by: BMZ",,,,,,,,
