Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Maturity / Readiness for replication or scaling [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics  & Responsible AI Assessments,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application (if applicable)",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Editor of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Link to additional Resources (Paper, Publications, etc)",Lacuna Dataset (Yes/No),Info on fair sharing as as Digital Public Good ,Comments,Name in GIZ-internal database,"Registered as ""Digital Public Good"" with the DPGA registry?",Link to entry in DPG registry,On Hold 
ui_38,"Building inclusive voice technologies in the 3 Indonesian Languages Balinese, Bugis and Minangkabau through open language datasets","Building inclusive voice technologies in the 3 Indonesian Languages Balinese, Bugis and Minangkabau through open language datasets",Indonesia," FAIR Forward and Prosa.ai collected AI training data and trained models for three digitally underrepresented languages of Indonesia: Balinese, Bugis and Minangkabau. Existing works on underrepresented languages mostly focus on machine translation and simple language understanding tasks, such as sentiment analysis and topic classification. More complex tasks such as open-domain dialogue and dialogue summarization, are still left behind for these underrepresented languages which leads to a poor evaluation suite for assessing the capability of large language models (LMs) in these underrepresented languages. Mitigating this limitation, we introduce NusaDialogue, the first underrepresented languages datasets consisting of manually annotated dialogue along with its summary.

NusaDialogue covers 3 underrepresented languages under the Malayo-Polynesian languages group, i.e., Minangkabau (min), Balinese (ban), and Buginese (bug), each consisting of 10,000 dialogue and summary pairs. The dialogues in NusaDialogue encompass numerous topics including culture, occupation, politics, science, history, news, sports, religion, etc",https://huggingface.co/datasets/prosa-text/nusa-dialogue,,"SDG 2, SDG 10",Dataset > Model,Text,Prosa AI (https://prosa.ai/),"NusaDialogue covers 3 underrepresented languages under the Malayo-Polynesian languages group, i.e., Minangkabau (min), Balinese (ban), and Buginese (bug), each consisting of 10,000 dialogue and summary pairs. The dialogues in NusaDialogue encompass numerous topics including culture, occupation, politics, science, history, news, sports, religion, etc. 

The non-translationese annotation nature makes NusaDialogue suitable for representing the actual day-to-day use of these underrepresented languages. In addition, we ensure that the dataset is annotated by a balanced number of male and female annotators to make the dataset represent a more balanced demography.

Also, a responsible AI Assessment was undertaken for this dataset / use case to help AI developers and project managers to identify, assess and mitigate potential harms and biases in AI. For methodology, see https://www.bmz-digital.global/en/news/ethical-crash-test-for-ai-how-to-navigate-the-road-to-responsible-innovation/    ",,"Supporting Minority Languages in the Digital Space:

The digital divide is often more pronounced for speakers of minority and underrepresented languages. Including these languages in summarization datasets helps bridge this gap, ensuring that digital platforms and technologies are accessible and beneficial to a broader range of linguistic communities.

Encouraging Linguistic Research

The creation of NusaDialogue can stimulate interest and research in linguistics, language preservation, and computational linguistics. This can lead to a better understanding of the unique linguistic features of these languages and the development of more tailored language technologies.

Addressing Bias and Fairness in NLP

Through NusaDialogue , there is an opportunity to address biases present in NLP systems that are often trained on data from dominant languages. This can contribute to the development of more fair and unbiased language technologies.

In conclusion, the social impact of NusaDialogue extends beyond technology to cultural preservation, education, inclusivity, and cross-cultural understanding. It has the potential to empower communities, promote linguistic diversity, and contribute to a more equitable and interconnected global society.","Powered by: Prosa.ai 
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Prosa.ai / Balthas Seibold,NLP,,,,,,,Text data collection Indonesia,No,,No
ui_39,"Empowering coastal inhabitants in Indonesia: leveraging AI, community-based approaches and local Weather measurements for enhanced climate adaptation and a thriving “blue economy”","Empowering coastal inhabitants in Indonesia: leveraging AI, community-based approaches and local Weather measurements for enhanced climate adaptation and a thriving “blue economy”",Indonesia,"This dataset helps researcher observe daily weather changes, analyze local climate patterns, and support research, planning, or environmental modeling through machine learning and data science in Balai Silvofishery Maros Regency, South Sulawes. Weather Data is a collection of environmental condition records gathered from a monitoring point located in Balai Silvofishery Maros Regency. The dataset includes key weather parameters such as temperature, humidity, rainfall, light intensity, wind speed, and other atmospheric indicators. This data can enable accurate weather predictions which are critical for small-scale fishing, ecotourism, and coastal protection. By empowering fishermen and women with real-time insights, the dataset can serve to build systems that enhance safety, optimise livelihoods, and support sustainable local, blue economies.",https://github.com/insaninfonesia/WeatherData,,"SDG 13, SDG 14",Dataset > Model > Pilot,Meterological,Common Room Networks Foundation https://commonroom.info/   ,,,"This data and AI models built on the data can enable systems that provide accurate weather predictions which are critical for small-scale fishing, ecotourism, and coastal protection. By empowering fishermen and women with real-time insights, such systems can enhance safety, optimise livelihoods, and support sustainable local, blue economies.","Powered by: Common Room Networks Foundation https://commonroom.info/   
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,Other,,,,,,"Nature of Pilot: ""we have two IoT sensor prototypes for Aceh called Solitude and Maros called Sentinel: https://commonroom.info/mengenal-kecerdasan-artifisial-dan-internet-of-things-panduan-belajar-untuk-semua/.
https://commonroom.info/panduan-teknis-sistem-pemantauan-kualitas-air-laut-berbasis-iot-co_labs-panduan-instalasi-pemrograman-dan-perawatan/ 
Also platform to access the datasets:: https://colabs.commonroom.info/ "" ","Blue economy for climate mitigation and climate - leveraging AI, community-based approaches and local IoT-measurements",No,,No
ui_40,Mitigating the impacts of oil palm cultivation on forests and climate change in Indonesia through AI and social forestry,,Indonesia,"This dataset contributes to improved understanding and mitigation of the impacts of oil palm cultivation on forests and climate change. It can also serve to support sustainable forest management practices and empower local communities in forest resource management. 

The project created open and accessible training and evaluation datasets for machine learning applications focused on forest cover and change in Indonesia. It contains collections of polygons of uniform land cover, with labels indicating land cover type and, possibly, information on land cover change over time. To label land cover patches, the team has reviewed high-resolution satellite imagery facilitated by Collect Earth Online (CEO) and augmented it with field visits to difficult-to-classify areas. It has prioritized areas with significant landcover diversity with a preference for areas with significant smallholder production of  oil palm, coconut, and other commodities - given the well-known difficulties of distinguishing oil palm 
from coconut palm with lower resolution imagery.

Possible users of these outputs are local communities engaged in community forestry in Indonesia, as well as researchers, policymakers, and civil society organizations. The dataset also contributes to social forestry, which recognizes that people who depend on local forests are best placed to look after them, and that allowing communities to manage and use forest resources can have positive social, environmental and economic impacts. Social forestry is a broad term and has different names in different places. Some examples are community forestry, village forestry, participatory forestry, community-based forest management and people-centred forestry.",will come ,,"SDG 13, SDG 15",Dataset,"Drone Imagery, Geospatial/Remote Sensing","RECOFTC, Peter Cutter (peter.cutter@recoftc.org)",,,This dataset can help you to get an improved understanding of the impacts of oil palm cultivation on forests and climate change. It can also serve to support sustainable forest management practices and empower local communities in forest resource management.,"Powered by:  RECOFTC
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,Computer Vision,https://www.recoftc.org/sites/default/files/styles/image_scale_w1024/public/2025-03/dji_0037.jpg.webp?itok=l0ilgQi8,,"https://www.recoftc.org/projects/advancing-oil-palm-mapping-social-forestry-and-machine-learning 

Quote: “Communities in the areas targeted by this project are challenged when it comes to mapping the rapidly changing forest landscapes on which they depend. The datasets this project generates will provide valuable insight into these dynamic patterns of change.”  

— Gamma Galudra, Director, Indonesia Country Office, RECOFTC ",Yes,,,Advancing oil palm mapping with social forestry and machine learning,No,,No
ui_41,Early Warning System: Advisory services on climate-smart farming for small-holder farmers,Early Warning System: Advisory services on climate-smart farming for small-holder farmers,Kenya,"The Early Warning System (EWS) is an AI-powered platform that monitors farming activities and supports climate-smart precision agriculture for smallholder farms. It uses geo-referenced data collected from farms through mobile phones and high-resolution satellite imagery. The system provides crop monitoring, yield prediction, pest/disease detection, and localized agricultural advisory services in multiple languages. The platform is currently accessed through both WhatsApp by farmers and a self-serve platform/API for institutional users.",Daniel reached out to Leonida to ask for the links to the dataset and model,,"SDG 10, SDG 2",Dataset  > Model > Pilot > Use-Case >  Use-Case with Business Model,"Geospatial/Remote Sensing, Images",LDRI (https://www.developlocal.org/#),"Ground truth geo-tagged data from 1,521 farms across 5 regions in Kenya
 Types of data: Crop images, farm boundaries, crop conditions, weekly activity logs
 Coverage: Multiple crop types including maize, beans, sweet potatoes, cassava, kales, Irish potatoes, cowpeas, soya beans, and indigenous vegetables
 Language data: ~150 hours of voice data and transcriptions in KiEmbu, Kikuyu, Kiswahili and Luhya
 Timeline: Data collected over multiple growing seasons from 2022-2024
 Collection conducted by LDRI in partnership with champion farmers and agronomists.","Processed Data and Models:
 1. Uses geo-tagged images collected from farms and annotated for crop types, health status, and specific afflictions (pests/diseases/nutrition deficiency) 
 2. Derived vegetation indices, moisture indices, and time-series data from satellite imagery.
 3. A corpus of voice and text data is being developed for local language processing.
 4. Crop classification models using CNN architectures : Identifies 
 5. Crop Yield prediction models 
 6. Language models for agricultural advisory in multiple local languages (in development)
 Application:
 The system can be used for:
 • Early warning of potential crop failure
 • Yield prediction and crop health monitoring
 • Localized agricultural advisory in multiple languages
 • Farm productivity tracking and management
 • Regional agricultural monitoring and planning","The EWS provides a comprehensive platform that combines AI-powered crop monitoring with localized advisory services. Organizations can access the data and models through :A self-serve platform and API for accessing predictions and analytics; Mobile applications for farmers to receive personalized crop management recommendations in local language; Integration possibilities with existing agricultural extension services and Analytics dashboards for value chain stakeholders and policy institutions. The system can be scaled to new regions and crops through transfer learning and the modular architecture allowing for continuous improvement of individual components. The platform supports both individual farmer-level insights and aggregated regional analytics to optimize crop yields and manage stressors effectively, making it valuable for various stakeholders across the agricultural sector.
This use case is also linked to the development of a business model / funding model for open source AI as a stepping stone towards financially viable operations. It was part of Villgro Africa's and ""FAIR Forward — AI for All""'s  six-month mentorship programme on ""Creating sustainable business and funding models with open source AI"". See: https://www.bmz-digital.global/en/news/open-source-ai-business-impact/  ","Powered by: Local Development Research Institute (LDRI) 
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,"NLP, Computer Vision",,,Smart sowing: AI for more harvest in Kenya and Uganda | BMZ Digital.Global,,,"LDRI contacted for info on dataset and model (DB, 6/6/25)",Early Warning System LDRI,No,,No
ui_42,Citizen chatbot of the Kenyan Office of the Data Protection Commissioner,Citizen chatbot of the Kenyan Office of the Data Protection Commissioner,Kenya,The citizen chatbot enables the Kenyan public to access information about Kenya's data protection laws and regulation in an easily accessible conversation on the ODPC's website. The aim is to make legal information more understandable and facilitate access. The content database of the chatbot was developed jointly with expert from the ODPC and tested with citizens.,"The chatbot is currently being redeveloped from RASA to RAG - hence no link available atm (DB, 28 Nov 25)",,SDG 16,Dataset  > Model > Pilot > Use-Case >  Use-Case with Business Model,Text,THiNK (https://think.ke/),"For the content database of the chatbot, Q&A pairs created and tested together with ODPC and citizens. In a second iteration, the chatbot is being transitioned from RASA to a RAG infrastructure (LLM-based). Status: November 2025

A responsible AI Assessment was undertaken for this dataset / use case to help AI developers and project managers to identify, assess and mitigate potential harms and biases in AI. For methodology, see https://www.bmz-digital.global/en/news/ethical-crash-test-for-ai-how-to-navigate-the-road-to-responsible-innovation/     ","The first version of the chatbot used a RASA architecture with NLU for accessing the Q&A pairs corresponding to user inquiries. As of November 2025, the chatbot is being transitioned to an LLM-based, RAG infrastructure.","The initial RASA-based chatbot was built with a dataset created with ODPC officials. The new, RAG-based version of the chatbot will be linked to a document database to minimise the risk of hallucinations. It will be integrated with the Office of the Data Protection Officer, hence it is not directly re-usable - though entirely built on open-source tools.

This use case also included the development of a business model and funding model for open source AI as a stepping stone towards financially viable operations. It was facilitated by Villgro Africa's and FAIR Forward's  six-month mentorship programme on ""Creating sustainable business and funding models with open source AI"". See: https://www.bmz-digital.global/en/news/open-source-ai-business-impact/ ","Powered by: Tech Innovators Network Kenya (THiNK)
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,NLP,,,,,,"THiNK contacted for website and data info (DB, 6/6/25)",Office of Data Protection Commission (ODPC) Chatbot Kenya,No,,Yes
ui_43,Paza Sauti - chatbot and IVR service in Swahili for better access to credit for women in Kenya,Paza Sauti - chatbot and IVR service in Swahili to raise awareness about the use of collateral (security) to access credit for women in Kenya,Kenya,"The project is developing a chatbot and an interactive voice response service that will provide voice-enabled services in the domain of business registration and raise awareness about the use of collateral (security) to access credit in Kenya. The main objective is to increase financial literacy around moveable properties as collateral, particularly for women in business, and in particular agriculture, for purposes of accessing credit. Although there has been an increase in the ease of getting credit, most members of the population are still unaware of their capability to access further credit as a result of using moveable properties as collateral. This was part of a Mozilla innovation challenge supporting people and projects across East Africa who leverage Common Voice’s open-source voice data set to unlock social and economic opportunities. These grants help to advance the use of open-source voice data for products that support community participation and engagement.","Update (28 Nov, DB): I wrote Brian Omwenga with Florence, Emmanual and Jonas in CC to ask for a link and update on Paza Sauti. FYI Chenai does not work for Mozilla anymore and will not be in a position to assist.",,"SDG 10, SDG 5, SDG 2",Dataset > Model > Pilot,"Text, Voice",Tech Innovators Network Ltd,,,,"Powered by: Tech Innovators Network Ltd
Catalyzed by: Mozilla & FAIR Forward - AI for All
Financed by: Gates Foundation & BMZ","Daniel Brumund, Balthas Seibold",NLP,https://assets.mofoprod.net/network/images/Paza-Sauti.2e16d0ba.fill-760x760-c100.format-jpeg_yOVFsnE.jpg,,Awards - Mozilla Foundation,,,"THiNK contacted for website and data info (DB, 6/6/25)","Support Mozilla Swahili grantee / part of ""Expansion of voice data collection and development of use cases [Mozilla]""",No,,No
ui_45,"Hello, government - better citizen services in Kenya through ""AI Chatbots"" as a replicable open-source building block","Hello, government - better citizen services in Kenya through ""AI Chatbots"" as a replicable open-source building block",Kenya,"There is a significant opportunity to make digitized government services in Kenya more easily discoverable and, by extension, enhance their accessibility and use by citizens through chatbot technology. Based on NLP technology, chatbots can help citizens access information on Kenya’s eGovernment services through text and voice inputs in Kiswahili and English. This project foresees the development of an AI Conversational Chatbot using the GovStack Building Block Approach - so as to create (a) a chatbot for easier service discoverability; and (b) a chatbot framework that can be reused as a digital public good. 
","running project: THiNK has created an MVP that is being integrated with eCitizen (as of 28 Nov 2025, DB)",,SDG 10,Dataset > Model > Pilot,Text,THiNK (https://think.ke/),,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Daniel Brumund,NLP,,,,,,The project is currently being implemented. More info to be added once it's finished (end of 2025),AI Conversational Chatbot (with GovStack),No,,Yes
ui_46,"Enabling machine translation from Kiswahili into the indigenous Kenyan languages Kidaw'ida, Kalenjin, and Dholuo, preserving these languages & supporting crowd-sourced voice recognition via Mozilla Common Voice for these languages",,Kenya,"The dataset was created to enable translation from Kiswahili, which is the national language in Kenya, into three indigenous languages, namely, Kidaw'ida, Kalenjin, and Dholuo. All three languages are low resource, especially Kidaw'ida, which has only around 400,000 speakers and is at immediate risk of loss. By collecting the text and speech data, the project has taken a step towards preservation of these languages . The dataset consists of three parallel corpora: Kidaw'ida-Kiswahili; Kalenjin-Kiswahili; Dholuo-Kiswahili. On average, each corpus has thirty thousand sentence pairs. 

In addition, the dataset has helped to preserve, revitalise and elevate the languages Kidaw'ida, Kalenjin, and Dholuo by making them work on Mozillas Common Voice Platform. The text and speech datasets are thereby supporting crowd-sourced voice recognition, promoting linguistic diversity and empoweromg local communities by enabling Natural Language Processing applications tailored to their needs. Namely, the resulting voice recognition datasets can be used to build AI voice applications such as advisory systems in local languages for farmers, citizens etc that ""understand"" speech input (instead of written input). As of August 2025, 120 hours of speech data have been recorded on Common Voice in Dholuo (with 14692 sentences available), 92 hours have been recorded for Kalendjin (With 29900 sentences available) and 56 hours have been recorded for Kidaw'ida (with 11773 sentences available). To download the crowd-sourced speech datasets in Kidaw'ida, Kalenjin, and Dholuo, visit https://datacollective.mozillafoundation.org/datasets?q=common+voice ",https://zenodo.org/records/13355021,,"SDG 10, SDG 5, SDG 2",Dataset,"Voice, Text",Audrey Mbogho (ambogho@usiu.ac.ke),"The dataset consists of three parallel corpora: Kidaw'ida-Kiswahili; Kalenjin-Kiswahili; Dholuo-Kiswahili. On averate, each corpus has thirty thousand sentence pairs. This dataset is available on Zenodo and on GitHub where it will continue to be grown and its quality improved. The project had a total of 105 speakers who came from different parts of each region where the three languages are spoken. Thus, different regional accents were included in the speech data, making the dataset more representative. Furthermore, both male and female speakers were contributing to the voice data.",,"> The datasets can help to build translation services from Kiswahili into three indigenous languages, namely, Kidaw'ida, Kalenjin, and Dholuo. 
> The datasets can help to preserve these three low resource languages, promote linguistic diversity and empower local communities by enabling Natural Language Processing applications tailored to their needs.
> the resulting voice recognition datasets can be used to build AI voice applications such as advisory systems in local languages for farmers, citizens etc that ""understand"" speech input (instead of written input).  ","Powered by:   USIU - Africa in cooperation with Kabarak University and Maseno University, Kenya
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,NLP,,Apache License 2.0,"https://arxiv.org/pdf/2501.11003 , https://github.com/waleghwa/low-resource-language-data , https://datacollective.mozillafoundation.org/datasets?q=common+voice   ",Yes,,"Comment Balthas: original title is ""Building parallel corpora for Kenya’s Indigenous Languages and Swahili""

DONE on 25.8., Balthas",Building parallel corpora for Kenya’s Indigenous Languages and Swahili,No,,No
ui_47,Miti360: A Comprehensive Dataset for AI-Powered Forest Monitoring,Miti360: A Machine Learning Ready Dataset for Automated and Scalable Forest Monitoring,Kenya,"Miti360 is an integrated, machine-learning ready dataset for individual-tree and stand-level reforestation monitoring that fuses high-resolution drone orthophotos, terrestrial stereo and single images, precise ground measurements (tree height, crown diameter, basal diameter and GPS locations), species labels, and multi-year weather time series for nearby stations. The collection is designed to support detection, segmentation, species classification, and biophysical parameter estimation (e.g., crown diameter, height, biomass proxies), and to enable linking short-term growth dynamics to weather. Data are provided in standard GIS and ML formats (GeoTIFF, JPEG, JSON, SHP, time-series API) for immediate integration into research and operational pipelines.",https://github.com/DeKUT-DSAIL/miti360,,SDG 15,Dataset,"Geospatial/Remote Sensing, Images","Prof. Ciira Maina, Centre for Data Science and Artificial Intelligence, Dedan Kimathi University of Technology","Miti360 contains the following core components and formats (quantities as provided):
- Orthophotos (GeoTIFF): high-resolution stitched orthomosaics (2 GeoTIFFs) and 844 orthophoto tiles exported for annotation. 
- Tree crown annotations (orthophoto): ~24,000 annotated crowns (bounding boxes) exported in JSON; 1,208 crowns have species labels and are also provided as a 1208-feature shapefile (SHP). 
- Ground measurements (numeric): 1,208 measurement records (600 individual trees sampled twice across two campaigns) in JSON — fields include tree height, crown diameter, basal diameter, and GPS coordinates. 
- Terrestrial single images: 1,208 JPEG images paired with semantic segmentation masks (mask files exported alongside images). 
- Terrestrial stereo images: 2,416 JPEG stereoscopic image pairs (left/right) with corresponding masks for 3D/photogrammetric workflows. 
- Weather time series: daily data spanning 8 years from 40 stations, accessible via an API endpoint for linking meteorological drivers to growth. 
All annotations and metadata use common interchange formats (JSON, SHP, GeoTIFF, JPEG) to enable GIS analyses and ML training without format conversion
",,"The Miti360 dataset is intended for training and assessing machine learning models in various forestry applications.
- Use the orthophoto tiles and bounding box annotations to train models for individual tree detection, counting, and classification from aerial imagery.
- Use the terrestrial stereoscopic images to develop and benchmark 3D computer vision models for automating forest inventory, such as estimating biophysical parameters.
- Combine the ground-truth measurements (TH, CD, BD) and weather data to train models that determine quantitative relationships between tree growth and local weather conditions.
- Leverage the multi-year data (2024-2025) to analyse changes in biophysical parameters and determine which tree species are growing well in the reforested area.

The dataset is designed to be integrated. By augmenting this dataset with others, one can
- Combine Miti360 with other global forestry datasets mentioned in the report (like NEON Crowns or Auto Arborist) to train models with greater geographic diversity, addressing a key gap this dataset was built to fill.
- Augment the dataset with socio-economic data on local farming to explore and validate the contribution of farmers to reforestation, an application suggested in the report.

Cost & resources one can use:
- Cost: Only associated compute costs
- Resources: The source code used for data analysis as well as preliminary models trained on the dataset will be made available.
","Powered by:  Dedan Kimathi University of Technology, Kenya
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Ciira Maina,,,https://creativecommons.org/licenses/by/4.0/,"https://www.dw.com/en/artificial-intelligence-boosts-kenyas-forestry-conservation/video-69618432 , https://dekut-dsail.github.io/projects/treedetection.html , https://agu.confex.com/agu/agu24/meetingapp.cgi/Paper/1728502 , https://ieeexplore.ieee.org/document/11060524 ",Yes,,Original title: Remote sensing and weather dataset for improved reforestation monitoring,,No,,No
ui_48,Data-enabled climate shock absorbance through agroforestry (Agrof4resilience),Climate resilience through agroforestry,Kenya,"The Agrof4Resilience geospatial datasets are open-access utilized by artificial intelligence (AI) and machine learning (ML) algorithms that are aimed at creating more robust, productive, resilient and diverse agro-ecological systems to achieve productive agro-ecosystems that have potential to improve resilience over time. This is crucial especially in dryland which are plagued with land degredation and other effects of climate change. The data demonstrates that agroforestry in Kenya is fairly low while models developed from the data indicate high agroforestry potential in Kenya. This is affected by socioeconomic factors such as education levels, occupation, age, landsize, income, gender, marital status, cultural beliefs, and family size. These datasets could be utilized to demostrate regions and practices that are environementally and socio-economically sound. This could provide insights on practices that could enhance livelihoods and promote environmental resilience in target communities across Kenya. The data was collected from 35 out of 47 counties in Kenya, spread across four predetermined transects that cover four main agro-ecological zones, and stored in a freely accessible database within icipe’s servers.",https://dmmg.icipe.org/dataportal/dataset/data-enabled-climate-shock-absorbance-and-ecosystem-resilience,,SDG 2,Dataset  > Model > Pilot > Use-Case,Geospatial/Remote Sensing,International Center of Insect Physiology and Ecology ICIPE (dg@icipe.org),"This geospatial datasets comprises both land use/landcover (LULC) data, plot sampling and socio-economic data from 35 out of 47 counties in Kenya spread across four main agroclimatic zones in Kenya. It contains machine learning-ready data of 2,391 LULC points and polygones of the collected LULC classes, that show the different land uses across Kenya. It also contains a total of a total of 8,194 plant location (gps) points of individual tagged plants collected from a total of 224 1-ha plots from 35 counties in Kenya. Information on the species identification, diameter at breast height (DBH), height, and canopy size is provided. In addition, socio-economic data from 46 focused group discussions with over 44% women and 18% youth conducted within the 35 counties is provided and clearly labeled, detailing agroforestry systems (AFSs) preferences, gender roles, and youth participation in agroforestry systems (AFSs). ",,"The database provides information on tree/plant-level, plot-level and landscape scale across Kenya. Measurements such as DBH, tree height, canopy size and tree identification have been provided. In addition, socio-economic data such as agroforestry systems (AFSs) preferences, gender roles, and youth participation in AFSs are also provided. The datasets are readily and freely available to users who can integrate it to AI and ML algorithms and models as ground-truth data to train and/or validate the models associated and/or related to agroforestry and carbon sequestration across Kenya. The models developed using the Agrof4Resilience data could utilize and take advantage of satellite data from various sources that are both freely available or with commercial licences. ","Powered by:  International Center of Insect Physiology and Ecology (ICIPE)
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “The Lacuna-funded Agro4Resilience Project offers Kenyan farmers and decision makers a pathway for informed decision-making that supports tree cover increase. It will also improve agricultural productivity and mitigate climate change effects through ecosystem services.” 

— David Makori, International Centre of Insect Physiology and Ecology (ICIPE)  ",Yes,,,,No,,No
ui_49,,,,,,,,,,,,,,,,,,,,,,,,,,
ui_50,LivHealth Kiswahili Corpus,AI-powered lifestock health system enabling local communities easy access to disease information on demand and in Kiswahili. ,Kenya,"LivHealth Kiswahili Corpus aims to empower local communities to correctly identify livestock syndromes and get timely interventions from qualified livestock practitioners. Using Natural Language Processing (NLP), Machine Learning (ML), and Artificial Intelligence (AI), the project will build Kiswahili text-to-speech models for disseminating disease information to marginalized communities. Working closely with their partner, One Health Center in Africa (OHRECA) based at ILRI, they will enhance the functionality of the LivHealth system to enable local communities easy access to disease information on demand and in Kiswahili. This was part of a Mozilla innovation challenge supporting people and projects across East Africa who leverage Common Voice’s open-source voice data set to unlock social and economic opportunities. These grants help to advance the use of open-source voice data for products that support community participation and engagement.",https://livhealth-kc.badili.co.ke/,,"SDG 10, SDG 2",Dataset > Model > Pilot,"Text, Voice",Badili Innovations,,,,"Powered by: Badili Innovations
Catalyzed by: Mozilla & FAIR Forward - AI for All
Financed by: Gates Foundation & BMZ",Balthas Seibold,NLP,https://assets.mofoprod.net/network/images/LivHealth-Kiswahi.2e16d0ba.fill-760x760-c100.format-jpeg_VudfTiG.jpg,,https://foundation.mozilla.org/blog/new-app-and-local-language-translations-improve-livestock-health-in-kenya-and-tanzania/,,,,,No,,No
ui_51,,Wezesha na Kabambe - offline  Swahili audio chatbot for women farmers in Kenya ,Kenya,"A mobile enabled Swahili audio chatbot not reliant on internet connectivity. It is developed in collaboration with rural small-holder women farmers in Kenya as an alternative source for agricultural information. Using the Mozilla Swahili data sets, the mobile-enabled chatbot can be used on both feature phones (kabambes) and smartphones by rural smallholder farmers. The interactive Swahili chatbot is powered by a database of frequently asked questions from smallholder women farmers, a marginalized and digitally excluded group. It is inspired by existing familiarity, adoption, and acceptance of mobile technologies in rural areas in Kenya.

This was part of a Mozilla innovation challenge supporting people and projects across East Africa who leverage Common Voice’s open-source voice data set to unlock social and economic opportunities. These grants help to advance the use of open-source voice data for products that support community participation and engagement.","Unfortunately no information or contacts to inquire further (DB, 28 Nov 2025)",,"SDG 10, SDG 2, SDG 5",Dataset > Model > Pilot,"Text, Voice",,,,,"Powered by: Moi University, Technical University of Kenya
Catalyzed by: Mozilla & FAIR Forward - AI for All
Financed by: Gates Foundation & BMZ",Balthas Seibold,NLP,,,https://foundation.mozilla.org/blog/wezesha-na-kabambe-building-tech-with-smallholder-farmers-in-western-kenya/,,,,,No,,No
ui_52,,ChamaChat - powering Chama loan groups through voice AI and a chatbot,Kenya,"A Chama management system with a chatbot that interacts with members and gives voice replies in Kiswahili via SMS and Whatsapp. It connects to the group Payment API, ie M-Pesa API. Members can interact with the Chama admin bot on a variety of functions, including instance check balance, loan requests and receiving transaction statements. 

This was part of a Mozilla innovation challenge supporting people and projects across East Africa who leverage Common Voice’s open-source voice data set to unlock social and economic opportunities. These grants help to advance the use of open-source voice data for products that support community participation and engagement.","Unfortunately no information or contacts to inquire further (DB, 28 Nov 2025)",,SDG 10,Dataset > Model > Pilot,"Text, Voice",,,,,"Powered by: Ujuzi Craft LTD
Catalyzed by: Mozilla & FAIR Forward - AI for All
Financed by: Gates Foundation & BMZ",Balthas Seibold,NLP,https://assets.mofoprod.net/network/images/ChamaChat.2e16d0ba.fill-760x760-c100.format-jpeg_qeLkJ3C.jpg,,,,,,,No,,No
